sample_name	age	age_unit	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	country	dam_id	dam_institute	date_of_birth	depth	depth_m	description	diet	dna_extracted	dragon_name	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	host_class	host_common_name	host_condition	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	medication_antibiotics	notes	physical_specimen_location	physical_specimen_remaining	place_of_birth	provenance	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	rearing	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	sire_id	sire_institute	title	weight_at_birth	weight_unit	zoo_animal_id
1747.200080.92812.fecal	13	years	0.0	200080.92812.fecal	UBERON:feces	UBERON:feces	UBERON:feces	2012-09-28	GAZ:United States of America			10/12/98	0	0	feces		true	NA	109.5257	109.5257	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:WA:Seattle	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	17	sk__Eukaryota	61221	47.67	47.67	-122.353	-122.353		was sexed as female in 1999 by PE AgGen, was sexed as a male in 2008 by Gen Lab	UCSDMI	false		Woodland Park Zoo	true	Host-associated	Animal	Animal distal gut	1747		organismal metagenomes	410656	Animal distal gut	gut  metagenome	male			Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200080
1747.200080.92812.saliva	13	years	0.0	200080.92812.saliva	UBERON:oral cavity	UBERON:saliva	UBERON:mouth	2012-09-28	GAZ:United States of America			10/12/98	0	0	oral		true	NA	109.5257	109.5257	True	EMP sample	Host-associated	Animal	Animal secretion	urban biome	animal-associated habitat	saliva	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:WA:Seattle	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	17	sk__Eukaryota	61221	47.67	47.67	-122.353	-122.353		was sexed as female in 1999 by PE AgGen, was sexed as a male in 2008 by Gen Lab	UCSDMI	false		Woodland Park Zoo	true	Host-associated	Animal	Animal secretion	1747		organismal metagenomes	410656	Animal secretion	oral metagenome	male			Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200080
1747.200080.92812.skin	13	years	0.0	200080.92812.skin	UBERON:skin	UBERON:sebum	UBERON:skin of head	2012-09-28	GAZ:United States of America			10/12/98	0	0	skin of head		true	NA	109.5257	109.5257	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:WA:Seattle	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	17	sk__Eukaryota	61221	47.67	47.67	-122.353	-122.353		was sexed as female in 1999 by PE AgGen, was sexed as a male in 2008 by Gen Lab	UCSDMI	false		Woodland Park Zoo	true	Host-associated	Animal	Animal surface	1747		organismal metagenomes	410656	Animal surface	skin metagenome	male			Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200080
1747.200188.fecal		years	0.0	200188.fecal	UBERON:feces	UBERON:feces	UBERON:feces	2012-08-13	GAZ:United States of America				0	0	200188 fecal Ketiga		true	Ketiga	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	23	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Animal	Animal distal gut	1747		organismal metagenomes	410656	Animal distal gut	gut  metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200188
1747.200188.saliva		years	0.0	200188.saliva	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	2012-08-08	GAZ:United States of America				0	0	200188 saliva		true	NA	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal secretion	urban biome	animal-associated habitat	saliva	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	23	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Animal	Animal secretion	1747		organismal metagenomes	410656	Animal secretion	oral metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200188
1747.200188.skin		years	0.0	200188.skin	UBERON:skin	UBERON:sebum	UBERON:skin	2012-08-08	GAZ:United States of America				0	0	200188 skin		true	NA	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	23	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true				1747		organismal metagenomes	410656	Animal surface	skin metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200188
1747.200197.fecal		years	0.0	200197.fecal	UBERON:feces	UBERON:feces	UBERON:feces	2012-08-13	GAZ:United States of America				0	0	200197 fecal Mo'o Nui		true	Mo'o Nui	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	20	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Animal	Animal distal gut	1747		organismal metagenomes	410656	Animal distal gut	gut  metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200197
1747.200197.holding.pen2.dirt.plant.matter		years	0.0	200197.holding.pen2.dirt.plant.matter				Not applicable	GAZ:United States of America				0	0	200197 holding pen straw/dirt (plant matter) Doc		true	Doc	5.78	5.78	True	EMP sample	Host-associated	Plant	Plant corpus	urban biome	animal-associated habitat	animal habitation	built environment	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	20	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Plant	Plant corpus	1747		organismal metagenomes	410656	Soil (non-saline)	dust metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200197
1747.200197.holding.pen2.straw		years	0.0	200197.holding.pen3				Not applicable	GAZ:United States of America				0	0	200197 holding pen straw/dirt (plant matter) Ketiga		true	Ketica	5.78	5.78	True	EMP sample	Host-associated	Plant	Plant corpus	urban biome	animal-associated habitat	animal habitation	built environment	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	20	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Plant	Plant corpus	1747		organismal metagenomes	410656	Plant surface	dust metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200197
1747.200197.saliva		years	0.0	200197.saliva	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	2012-08-08	GAZ:United States of America				0	0	200197 saliva		true	NA	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal secretion	urban biome	animal-associated habitat	saliva	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	20	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Animal	Animal secretion	1747		organismal metagenomes	410656	Animal secretion	oral metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200197
