sample_name	age	age_unit	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	country	dam_id	dam_institute	date_of_birth	depth	depth_m	description	diet	dna_extracted	dragon_name	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	host_class	host_common_name	host_condition	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	medication_antibiotics	notes	physical_specimen_location	physical_specimen_remaining	place_of_birth	provenance	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	rearing	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	sire_id	sire_institute	title	weight_at_birth	weight_unit	zoo_animal_id
1747.200197.skin		years	0.0	200197.skin	UBERON:skin	UBERON:sebum	UBERON:skin	2012-08-08	GAZ:United States of America				0	0	200197 skin		true	NA	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	20	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Animal	Animal surface	1747		organismal metagenomes	410656	Animal surface	skin metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200197
1747.200315.92812.fecal	18	years	0.0	200315.92812.fecal	UBERON:feces	UBERON:feces	UBERON:feces	2012-09-28	GAZ:United States of America			2/7/94	0	0	feces		true	NA	109.5257	109.5257	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:WA:Seattle	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	16	sk__Eukaryota	61221	47.67	47.67	-122.353	-122.353			UCSDMI	false		Woodland Park Zoo	true	Host-associated	Animal	Animal distal gut	1747		organismal metagenomes	410656	Animal distal gut	gut  metagenome	male			Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200315
1747.200315.92812.saliva	18	years	0.0	200315.92812.saliva	UBERON:oral cavity	UBERON:saliva	UBERON:mouth	2012-09-28	GAZ:United States of America			2/7/94	0	0	oral		true	NA	109.5257	109.5257	True	EMP sample	Host-associated	Animal	Animal secretion	urban biome	animal-associated habitat	saliva	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:WA:Seattle	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	16	sk__Eukaryota	61221	47.67	47.67	-122.353	-122.353			UCSDMI	false		Woodland Park Zoo	true	Host-associated	Animal	Animal secretion	1747		organismal metagenomes	410656	Animal secretion	oral metagenome	male			Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200315
1747.200315.92812.skin	18	years	0.0	200315.92812.skin	UBERON:skin	UBERON:sebum	UBERON:skin of head	2012-09-28	GAZ:United States of America			2/7/94	0	0	skin of head		true	NA	109.5257	109.5257	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:WA:Seattle	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	16	sk__Eukaryota	61221	47.67	47.67	-122.353	-122.353			UCSDMI	false		Woodland Park Zoo	true	Host-associated	Animal	Animal surface	1747		organismal metagenomes	410656	Animal surface	skin metagenome	male			Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			200315
1747.207495.10512.fecal		years	0.0	207495.10512.fecal	UBERON:feces	UBERON:feces	UBERON:feces	2012-10-05	GAZ:United States of America				0	0	fecal		true	NA	168.5547	168.5547	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:TX:Fort Worth	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	13	sk__Eukaryota	61221	32.743	32.743	-97.356	-97.356			UCSDMI	false		Fort Worth Zoo	true	Host-associated	Animal	Animal distal gut	1747		organismal metagenomes	410656	Animal distal gut	gut  metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			207495
1747.207495.10512.saliva		years	0.0	207495.10512.saliva	UBERON:oral cavity	UBERON:saliva	UBERON:mouth	2012-10-05	GAZ:United States of America				0	0	oral		true	NA	168.5547	168.5547	True	EMP sample	Host-associated	Animal	Animal secretion	urban biome	animal-associated habitat	saliva	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:TX:Fort Worth	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	13	sk__Eukaryota	61221	32.743	32.743	-97.356	-97.356			UCSDMI	false		Fort Worth Zoo	true	Host-associated	Animal	Animal secretion	1747		organismal metagenomes	410656	Animal secretion	oral metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			207495
1747.207495.10512.skin		years	0.0	207495.10512.skin	UBERON:skin	UBERON:sebum	UBERON:skin of head	2012-10-05	GAZ:United States of America				0	0	skin of head		true	NA	168.5547	168.5547	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:TX:Fort Worth	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	13	sk__Eukaryota	61221	32.743	32.743	-97.356	-97.356			UCSDMI	false		Fort Worth Zoo	true	Host-associated	Animal	Animal surface	1747		organismal metagenomes	410656	Animal surface	skin metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			207495
1747.207507.10512.fecal		years	0.0	207507.10512.fecal	UBERON:feces	UBERON:feces	UBERON:feces	2012-10-05	GAZ:United States of America				0	0	fecal		true	NA	168.5547	168.5547	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:TX:Fort Worth	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	15	sk__Eukaryota	61221	32.743	32.743	-97.356	-97.356			UCSDMI	false		Fort Worth Zoo	true	Host-associated	Animal	Animal distal gut	1747		organismal metagenomes	410656	Animal distal gut	gut  metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			207507
1747.207507.10512.skin		years	0.0	207507.10512.skin	UBERON:skin	UBERON:sebum	UBERON:skin of head	2012-10-05	GAZ:United States of America				0	0	skin of head		true	NA	168.5547	168.5547	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:TX:Fort Worth	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	15	sk__Eukaryota	61221	32.743	32.743	-97.356	-97.356			UCSDMI	false		Fort Worth Zoo	true	Host-associated	Animal	Animal surface	1747		organismal metagenomes	410656	Animal surface	skin metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			207507
1747.209107.fecal		years	0.0	209107.fecal	UBERON:feces	UBERON:feces	UBERON:feces	2012-08-08	GAZ:United States of America				0	0	209107 fecal		true	NA	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	25	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Animal	Animal distal gut	1747		organismal metagenomes	410656	Animal distal gut	gut  metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			209107
1747.209107.holding.pen.A.debris		years	0.0	209107.holding.pen.A				Not applicable	GAZ:United States of America				0	0	209107 holding pen dust/debris (plant matter) Enam		true	Enam	5.78	5.78	True	EMP sample	Host-associated	Plant	Plant corpus	urban biome	animal-associated habitat	animal habitation	built environment	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	25	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Plant	Plant corpus	1747		organismal metagenomes	410656	Soil (non-saline)	dust metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			209107
1747.209107.saliva		years	0.0	209107.saliva	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	2012-08-08	GAZ:United States of America				0	0	209107 saliva		true	NA	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal secretion	urban biome	animal-associated habitat	saliva	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	25	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Animal	Animal secretion	1747		organismal metagenomes	410656	Animal secretion	oral metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			209107
1747.209107.skin		years	0.0	209107.skin	UBERON:skin	UBERON:sebum	UBERON:skin	2012-08-08	GAZ:United States of America				0	0	209107 skin		true	NA	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	25	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Animal	Animal surface	1747		organismal metagenomes	410656	Animal surface	skin metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			209107
1747.212070.holding.pen.B.debris		years	0.0	212070.holding.pen.B				Not applicable	GAZ:United States of America				0	0	212070 holding pen dust/debris (plant matter) Boris		true	Boris	5.78	5.78	True	EMP sample	Host-associated	Plant	Plant corpus	urban biome	animal-associated habitat	animal habitation	built environment	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	24	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Plant	Plant corpus	1747		organismal metagenomes	410656	Soil (non-saline)	dust metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			212070
1747.212070.saliva		years	0.0	212070.saliva	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	2012-08-08	GAZ:United States of America				0	0	212070 saliva		true	NA	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal secretion	urban biome	animal-associated habitat	saliva	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	24	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true				1747		organismal metagenomes	410656	Animal secretion	oral metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			212070
1747.907019.exhibit.dirt.plant		years	0.0	907019.exhibit.dirt.plant				Not applicable	GAZ:United States of America				0	0	907019 exhibit dirt/plant matter		true	NA	5.78	5.78	True	EMP sample	Host-associated	Plant	Plant corpus	urban biome	animal-associated habitat	animal habitation	built environment	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	26	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Plant	Plant corpus	1747		organismal metagenomes	410656	Soil (non-saline)	dust metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			907019
1747.930250.fecal		years	0.0	930250.fecal	UBERON:feces	UBERON:feces	UBERON:feces	Not applicable	GAZ:United States of America				0	0	930250 fecal		true	NA	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	21	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Animal	Animal distal gut	1747		organismal metagenomes	410656	Animal distal gut	gut  metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			930250
1747.930250.saliva		years	0.0	930250.saliva	UBERON:oral cavity	UBERON:saliva	UBERON:tongue	2012-08-08	GAZ:United States of America				0	0	930250 saliva		true	NA	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal secretion	urban biome	animal-associated habitat	saliva	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	21	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Animal	Animal secretion	1747		organismal metagenomes	410656	Animal secretion	oral metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			930250
1747.930250.skin		years	0.0	930250.skin	UBERON:skin	UBERON:sebum	UBERON:skin	2012-08-08	GAZ:United States of America				0	0	930250 skin		true	NA	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	21	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Animal	Animal surface	1747		organismal metagenomes	410656	Animal surface	skin metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			930250
1747.930256.skin		years	0.0	930256.skin	UBERON:skin	UBERON:sebum	UBERON:skin	2012-07-26	GAZ:United States of America				0	0	930256 skin Doc		true	Doc	5.78	5.78	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:HI:Honolulu	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	22	sk__Eukaryota	61221	30.47	30.47	-81.67	-81.67			UCSDMI	false		Honolulu Zoo	true	Host-associated	Animal	Animal surface	1747		organismal metagenomes	410656	Animal surface	skin metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			930256
1747.936306.10512.fecal		years	0.0	936306.10512.fecal	UBERON:feces	UBERON:feces	UBERON:feces	2012-10-05	GAZ:United States of America				0	0	fecal		true	NA	168.5547	168.5547	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:TX:Fort Worth	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	12	sk__Eukaryota	61221	32.743	32.743	-97.356	-97.356			UCSDMI	false		Fort Worth Zoo	true	Host-associated	Animal	Animal distal gut	1747		organismal metagenomes	410656	Animal distal gut	gut  metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			936306
1747.936306.10512.saliva		years	0.0	936306.10512.saliva	UBERON:oral cavity	UBERON:saliva	UBERON:mouth	2012-10-05	GAZ:United States of America				0	0	oral		true	NA	168.5547	168.5547	True	EMP sample	Host-associated	Animal	Animal secretion	urban biome	animal-associated habitat	saliva	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	USA:TX:Fort Worth	c__	Komodo dragon		f__Varanidae	g__Varanus	k__Metazoa	o__Squamata	p__Chordata	Varanus komodoensis	s__Varanus_komodoensis	12	sk__Eukaryota	61221	32.743	32.743	-97.356	-97.356			UCSDMI	false		Fort Worth Zoo	true	Host-associated	Animal	Animal secretion	1747		organismal metagenomes	410656	Animal secretion	oral metagenome				Development of the oral microbiota in captive Komodo Dragons (Varanus komodoensis)			936306
